,variable,coefficients
0,lot_shape,1215.2165682761474
1,land_contour,-478.7138729913522
2,land_slope,-5082.692269087736
3,overall_qual,10020.676149300725
4,overall_cond,4763.952656385767
5,year_built,196.45740845499586
6,year_remod/add,14.051940897172244
7,exter_qual,8538.600751067617
8,bsmt_qual,4558.997367299283
9,bsmt_cond,-4201.144394932031
10,bsmt_exposure,5753.319774645617
11,bsmtfin_type_1,1391.6482913421814
12,heating_qc,1388.898017954186
13,kitchen_qual,8203.078370943542
14,functional,-4161.3857748191185
15,fireplace_qu,1134.0199078153091
16,garage_finish,136.25398752224692
17,garage_cond,-2819.5153857732143
18,paved_drive,891.2867981895554
19,mo_sold,-94.16501128249092
20,yr_sold,-174.5259446618752
21,ms_subclass_50,6899.485880524749
22,ms_subclass_120,-14105.911714178372
23,ms_subclass_160,-6704.1228251338
24,ms_zoning_RM,-1177.4545779064415
25,lot_config_CulDSac,6101.862759096551
26,neighborhood_BrkSide,2169.220916583551
27,neighborhood_CollgCr,-7194.617115006171
28,neighborhood_Crawfor,13712.617458278777
29,neighborhood_Edwards,-10585.494390113623
30,neighborhood_Gilbert,-5769.627632302167
31,neighborhood_NAmes,-5073.973257676242
32,neighborhood_NWAmes,-9934.528578060237
33,neighborhood_NoRidge,27326.97271614771
34,neighborhood_NridgHt,40777.3387096289
35,neighborhood_OldTown,-4842.283439260611
36,neighborhood_SawyerW,-7133.449988483605
37,neighborhood_Somerst,9185.269403344078
38,neighborhood_StoneBr,54649.397556807155
39,condition_1_Norm,7890.351890052332
40,condition_1_PosN,22463.635505826438
41,bldg_type_Twnhs,-23619.583281331958
42,bldg_type_TwnhsE,-19275.612575065094
43,house_style_1Story,15628.69845799817
44,house_style_SLvl,-1137.9416234255134
45,roof_style_Hip,5953.318935178433
46,roof_matl_CompShg,9122.73457635339
47,exterior_1st_BrkFace,21835.451652788783
48,exterior_1st_HdBoard,-2797.9143784834673
49,exterior_1st_Stucco,-12520.361015521807
50,exterior_2nd_CmentBd,9614.120970126234
51,exterior_2nd_MetalSd,3642.1344463746304
52,exterior_2nd_Stucco,-7301.52321355258
53,exterior_2nd_VinylSd,2173.014488639842
54,exterior_2nd_Wd Shng,-1630.927744901122
55,bsmtfin_type_2_Rec,-4440.168116904891
56,electrical_SBrkr,-1279.40207566471
57,sale_type_New,13822.59083053496
58,lot_frontage,-1542.7531623944806
59,lot_area,2903.458245294163
60,mas_vnr_area,3574.442397245164
61,bsmtfin_sf_1,3343.2312376110644
62,bsmtfin_sf_2,925.1432289172492
63,bsmt_unf_sf,-689.401263444196
64,1st_flr_sf,-70.55264640302721
65,low_qual_fin_sf,-423.2878161512758
66,gr_liv_area,21559.788076999394
67,bsmt_full_bath,3057.050748436954
68,bsmt_half_bath,-448.5868956807162
69,full_bath,3331.7605528818867
70,half_bath,2714.394680757066
71,bedroom_abvgr,-1583.2449572988116
72,kitchen_abvgr,-2807.2550948148682
73,totrms_abvgrd,2826.252004559148
74,fireplaces,1616.420318925604
75,garage_cars,4988.099667536888
76,garage_area,1763.6507804632665
77,wood_deck_sf,2071.1848777766577
78,open_porch_sf,189.39243546407033
79,enclosed_porch,360.94510404488915
80,3ssn_porch,329.12811406276103
81,screen_porch,4231.623835117185
82,misc_val,-4727.999790094591
202,intercept,-52472.86195668427
