,column_name,pandas_dtype,is_unique,variable_type,is_target
0,id,int64,1,Nominal,0
1,pid,int64,1,Nominal,0
2,ms_subclass,int64,0,Nominal,0
3,ms_zoning,object,0,Nominal,0
4,lot_frontage,float64,0,Numerical,0
5,lot_area,int64,0,Numerical,0
6,street,object,0,Nominal,0
7,alley,object,0,Nominal,0
8,lot_shape,object,0,Ordinal,0
9,land_contour,object,0,Ordinal,0
10,utilities,object,0,Nominal,0
11,lot_config,object,0,Nominal,0
12,land_slope,object,0,Ordinal,0
13,neighborhood,object,0,Nominal,0
14,condition_1,object,0,Nominal,0
15,condition_2,object,0,Nominal,0
16,bldg_type,object,0,Nominal,0
17,house_style,object,0,Nominal,0
18,overall_qual,int64,0,Ordinal,0
19,overall_cond,int64,0,Ordinal,0
20,year_built,int64,0,Ordinal,0
21,year_remod/add,int64,0,Ordinal,0
22,roof_style,object,0,Nominal,0
23,roof_matl,object,0,Nominal,0
24,exterior_1st,object,0,Nominal,0
25,exterior_2nd,object,0,Nominal,0
26,mas_vnr_type,object,0,Nominal,0
27,mas_vnr_area,float64,0,Numerical,0
28,exter_qual,object,0,Ordinal,0
29,exter_cond,object,0,Ordinal,0
30,foundation,object,0,Nominal,0
31,bsmt_qual,object,0,Ordinal,0
32,bsmt_cond,object,0,Ordinal,0
33,bsmt_exposure,object,0,Ordinal,0
34,bsmtfin_type_1,object,0,Ordinal,0
35,bsmtfin_sf_1,float64,0,Numerical,0
36,bsmtfin_type_2,object,0,Nominal,0
37,bsmtfin_sf_2,float64,0,Numerical,0
38,bsmt_unf_sf,float64,0,Numerical,0
39,total_bsmt_sf,float64,0,Numerical,0
40,heating,object,0,Nominal,0
41,heating_qc,object,0,Ordinal,0
42,central_air,object,0,Binary,0
43,electrical,object,0,Nominal,0
44,1st_flr_sf,int64,0,Numerical,0
45,2nd_flr_sf,int64,0,Numerical,0
46,low_qual_fin_sf,int64,0,Numerical,0
47,gr_liv_area,int64,0,Numerical,0
48,bsmt_full_bath,float64,0,Numerical,0
49,bsmt_half_bath,float64,0,Numerical,0
50,full_bath,int64,0,Numerical,0
51,half_bath,int64,0,Numerical,0
52,bedroom_abvgr,int64,0,Numerical,0
53,kitchen_abvgr,int64,0,Numerical,0
54,kitchen_qual,object,0,Ordinal,0
55,totrms_abvgrd,int64,0,Numerical,0
56,functional,object,0,Ordinal,0
57,fireplaces,int64,0,Numerical,0
58,fireplace_qu,object,0,Ordinal,0
59,garage_type,object,0,Nominal,0
60,garage_yr_blt,float64,0,Numerical,0
61,garage_finish,object,0,Ordinal,0
62,garage_cars,float64,0,Numerical,0
63,garage_area,float64,0,Numerical,0
64,garage_qual,object,0,Ordinal,0
65,garage_cond,object,0,Ordinal,0
66,paved_drive,object,0,Ordinal,0
67,wood_deck_sf,int64,0,Numerical,0
68,open_porch_sf,int64,0,Numerical,0
69,enclosed_porch,int64,0,Numerical,0
70,3ssn_porch,int64,0,Numerical,0
71,screen_porch,int64,0,Numerical,0
72,pool_area,int64,0,Numerical,0
73,pool_qc,object,0,Ordinal,0
74,fence,object,0,Ordinal,0
75,misc_feature,object,0,Nominal,0
76,misc_val,int64,0,Numerical,0
77,mo_sold,int64,0,Ordinal,0
78,yr_sold,int64,0,Ordinal,0
79,sale_type,object,0,Nominal,0
80,saleprice,int64,0,Target,1
